X,Y,Z
579600,5313740,263
579610,5313740,262.4
579620,5313740,261.6
579630,5313740,260.8
579640,5313740,260.1
579650,5313740,259.4
579660,5313740,258.8
579670,5313740,258.5
579680,5313740,258.4
579690,5313740,258.6
579700,5313740,258.9
579710,5313740,259.3
579720,5313740,259.7
579730,5313740,260.1
579740,5313740,260.4
579750,5313740,260.7
579760,5313740,260.8
579770,5313740,261
579780,5313740,261
579790,5313740,261.1
579800,5313740,261.1
579810,5313740,261
579820,5313740,260.9
579830,5313740,260.7
579840,5313740,260.4
579850,5313740,259.6
579860,5313740,258.7
579870,5313740,257.7
579880,5313740,256.5
579890,5313740,255.3
579900,5313740,253.9
579910,5313740,252.5
579920,5313740,251
577020,5313730,97.7
577030,5313730,97.6
577040,5313730,97.7
577050,5313730,97.5
577060,5313730,97.6
577070,5313730,97.5
577080,5313730,97.5
577090,5313730,97.5
577100,5313730,97.5
577110,5313730,97.5
577120,5313730,97.5
577130,5313730,97.4
577140,5313730,97.2
577150,5313730,97.2
577160,5313730,97.2
577170,5313730,97.2
577180,5313730,97.2
577190,5313730,97.3
577200,5313730,97.4
577210,5313730,97.5
577220,5313730,97.6
577230,5313730,97.9
577240,5313730,98.3
577250,5313730,98.7
577260,5313730,99.1
577270,5313730,99.8
577280,5313730,100.5
577290,5313730,101
577300,5313730,101.5
577310,5313730,102
577320,5313730,102.5
577330,5313730,103
577340,5313730,103.6
577350,5313730,104.9
577360,5313730,106.4
577370,5313730,108.1
577380,5313730,109.7
577390,5313730,111
577400,5313730,112.2
577410,5313730,113.5
577420,5313730,114.7
577430,5313730,115.9
577440,5313730,117.5
577450,5313730,119.3
577460,5313730,121.1
577470,5313730,122.5
577480,5313730,123.6
577490,5313730,124.8
577500,5313730,126.1
577510,5313730,127.5
577520,5313730,129
577530,5313730,130.5
577540,5313730,131.7
577550,5313730,132.8
577560,5313730,133.8
577570,5313730,135.2
577580,5313730,137.4
577590,5313730,139.5
577600,5313730,142.4
577610,5313730,145.8
577620,5313730,147.8
577630,5313730,149.7
577640,5313730,151.6
577650,5313730,153.4
577660,5313730,155.2
577670,5313730,156.9
577680,5313730,158.4
577690,5313730,159.1
577700,5313730,159.9
577710,5313730,160.7
577720,5313730,161.5
577730,5313730,162.3
577740,5313730,163
577750,5313730,163.7
577760,5313730,164.3
577770,5313730,164.8
577780,5313730,165.2
577790,5313730,165.6
577800,5313730,165.9
577810,5313730,166.3
577820,5313730,166.6
577830,5313730,167
577840,5313730,167.4
577850,5313730,167.8
577860,5313730,168.3
577870,5313730,168.7
577880,5313730,169.2
577890,5313730,169.7
577900,5313730,170.2
577910,5313730,170.7
577920,5313730,171.5
577930,5313730,172.4
577940,5313730,173.4
577950,5313730,174.4
577960,5313730,175.3
577970,5313730,176.2
577980,5313730,177.1
577990,5313730,177.9
578000,5313730,178.8
578010,5313730,179.8
578020,5313730,180.8
578030,5313730,181.8
578040,5313730,182.8
578050,5313730,183.7
578060,5313730,184.8
578070,5313730,185.8
578080,5313730,186.8
578090,5313730,187.7
578100,5313730,188.5
578110,5313730,189.1
578120,5313730,189.5
578130,5313730,189.9
578140,5313730,190.2
578150,5313730,190.6
578160,5313730,191
578170,5313730,191.4
578180,5313730,191.8
578190,5313730,192
578200,5313730,192.4
578210,5313730,192.7
578220,5313730,193.1
578230,5313730,193.4
578240,5313730,193.8
578250,5313730,194.1
578260,5313730,194.5
578270,5313730,194.9
578280,5313730,195.2
578290,5313730,195.5
578300,5313730,195.9
578310,5313730,196.2
578320,5313730,196.6
578330,5313730,196.9
578340,5313730,197.2
578350,5313730,197.4
578360,5313730,197.3
578370,5313730,197.2
578380,5313730,197
578390,5313730,196.8
578400,5313730,196.5
578410,5313730,196.1
578420,5313730,195.8
578430,5313730,195.5
578440,5313730,195.1
578450,5313730,194.6
578460,5313730,194.6
578470,5313730,195.2
578480,5313730,196.7
578490,5313730,198.6
578500,5313730,200.4
578510,5313730,201.8
578520,5313730,203.1
578530,5313730,204.4
578540,5313730,205.7
578550,5313730,207.3
578560,5313730,211.3
578570,5313730,215.1
578580,5313730,219.6
578590,5313730,222.7
578600,5313730,226.7
578610,5313730,232.1
578620,5313730,235.5
578630,5313730,238.2
578640,5313730,240
578650,5313730,242
578660,5313730,245.2
578670,5313730,251.6
578680,5313730,256.1
578690,5313730,258.2
578700,5313730,260.1
578710,5313730,262
578720,5313730,263.6
578730,5313730,265.4
578740,5313730,267.3
578750,5313730,269.5
578760,5313730,271.7
578770,5313730,273.9
578780,5313730,276.1
578790,5313730,278.2
578800,5313730,280.3
578810,5313730,281.7
578820,5313730,283
578830,5313730,284.3
578840,5313730,285.4
578850,5313730,286.4
578860,5313730,286.9
578870,5313730,287.4
578880,5313730,287.9
578890,5313730,288.3
578900,5313730,288.7
578910,5313730,289.1
578920,5313730,289.4
578930,5313730,289.8
578940,5313730,290.2
578950,5313730,290.5
578960,5313730,290.9
578970,5313730,291.3
578980,5313730,291.6
578990,5313730,292
579000,5313730,292.2
579010,5313730,292.4
579020,5313730,292.6
579030,5313730,292.7
579040,5313730,292.8
579050,5313730,292.8
579060,5313730,292.8
579070,5313730,292.7
579080,5313730,292.6
579090,5313730,292.4
579100,5313730,292.1
579110,5313730,292
579120,5313730,291.9
579130,5313730,291.8
579140,5313730,291.6
579150,5313730,291.4
579160,5313730,291
579170,5313730,290.7
579180,5313730,290.2
579190,5313730,289.7
579200,5313730,289.1
579210,5313730,288.5
579220,5313730,287.7
579230,5313730,287
579240,5313730,286.5
579250,5313730,286.5
579260,5313730,286.4
579270,5313730,286.3
579280,5313730,286.2
579290,5313730,286
579300,5313730,285.7
579310,5313730,285.3
579320,5313730,284.7
579330,5313730,283.9
579340,5313730,283
579350,5313730,282
579360,5313730,281.1
579370,5313730,280
579380,5313730,279.1
579390,5313730,278.9
579400,5313730,278.5
579410,5313730,277.7
579420,5313730,276.7
579430,5313730,275.4
579440,5313730,274.2
579450,5313730,273.2
579460,5313730,272.3
579470,5313730,271.4
579480,5313730,270.7
579490,5313730,270
579500,5313730,269.4
579510,5313730,268.7
579520,5313730,268.1
579530,5313730,267.5
579540,5313730,266.9
579550,5313730,266.2
579560,5313730,265.6
579570,5313730,264.8
579580,5313730,264.1
579590,5313730,263.5
579600,5313730,262.8
579610,5313730,262.2
579620,5313730,261.3
579630,5313730,260.4
579640,5313730,259.5
579650,5313730,258.4
579660,5313730,257.3
579670,5313730,256.7
579680,5313730,256.7
579690,5313730,256.6
579700,5313730,257
579710,5313730,257.4
579720,5313730,257.9
579730,5313730,258.3
579740,5313730,258.7
579750,5313730,259
579760,5313730,259.2
579770,5313730,259.5
579780,5313730,259.6
579790,5313730,259.7
579800,5313730,259.7
579810,5313730,259.7
579820,5313730,259.6
579830,5313730,259.4
579840,5313730,259.2
579850,5313730,258.6
579860,5313730,257.8
579870,5313730,256.9
579880,5313730,255.8
579890,5313730,254.5
579900,5313730,253.3
579910,5313730,251.9
579920,5313730,250.5
577020,5313720,97.7
577030,5313720,97.7
577040,5313720,97.7
577050,5313720,97.6
577060,5313720,97.5
577070,5313720,97.6
577080,5313720,97.5
577090,5313720,97.5
577100,5313720,97.5
577110,5313720,97.5
577120,5313720,97.5
577130,5313720,97.5
577140,5313720,97.3
577150,5313720,97.3
577160,5313720,97.2
577170,5313720,97.2
577180,5313720,97.3
577190,5313720,97.4
577200,5313720,97.4
577210,5313720,97.5
577220,5313720,97.8
577230,5313720,98.1
577240,5313720,98.4
577250,5313720,98.8
577260,5313720,99.2
577270,5313720,99.8
577280,5313720,100.5
577290,5313720,101
577300,5313720,101.5
577310,5313720,102
577320,5313720,102.5
577330,5313720,103.1
577340,5313720,103.6
577350,5313720,104.8
577360,5313720,106.2
577370,5313720,107.8
577380,5313720,109.2
577390,5313720,110.5
577400,5313720,111.7
577410,5313720,112.9
577420,5313720,114
577430,5313720,115.1
577440,5313720,116.4
577450,5313720,118.2
577460,5313720,120.1
577470,5313720,121.5
577480,5313720,122.6
577490,5313720,123.8
577500,5313720,125
577510,5313720,126.2
577520,5313720,127.3
577530,5313720,128.1
577540,5313720,129
577550,5313720,130.6
577560,5313720,132.3
577570,5313720,133.9
577580,5313720,136.5
577590,5313720,139.2
577600,5313720,142
577610,5313720,145.1
577620,5313720,147.4
577630,5313720,149.3
577640,5313720,151.2
577650,5313720,153
577660,5313720,154.8
577670,5313720,156.5
577680,5313720,157.9
577690,5313720,158.9
577700,5313720,159.7
577710,5313720,160.5
577720,5313720,161.2
577730,5313720,162
577740,5313720,162.7
577750,5313720,163.4
577760,5313720,164
577770,5313720,164.6
577780,5313720,165
577790,5313720,165.4
577800,5313720,165.8
577810,5313720,166.1
577820,5313720,166.5
577830,5313720,166.8
577840,5313720,167.3
577850,5313720,167.7
577860,5313720,168.1
577870,5313720,168.6
577880,5313720,169
577890,5313720,169.5
577900,5313720,170
577910,5313720,170.5
577920,5313720,171.1
577930,5313720,172
577940,5313720,172.9
577950,5313720,173.8
577960,5313720,174.9
577970,5313720,175.8
577980,5313720,176.6
577990,5313720,177.4
578000,5313720,178.3
578010,5313720,179.3
578020,5313720,180.5
578030,5313720,181.5
578040,5313720,182.6
578050,5313720,183.5
578060,5313720,184.5
578070,5313720,185.5
578080,5313720,186.5
578090,5313720,187.4
578100,5313720,188.2
578110,5313720,188.9
578120,5313720,189.3
578130,5313720,189.7
578140,5313720,190.1
578150,5313720,190.5
578160,5313720,190.8
578170,5313720,191.2
578180,5313720,191.4
578190,5313720,191.8
578200,5313720,192.2
578210,5313720,192.6
578220,5313720,192.9
578230,5313720,193.2
578240,5313720,193.6
578250,5313720,193.9
578260,5313720,194.3
578270,5313720,194.7
578280,5313720,195
578290,5313720,195.3
578300,5313720,195.7
578310,5313720,196.1
578320,5313720,196.5
578330,5313720,196.9
578340,5313720,197.2
